measure_start,measure_end,object,value,id,quarterlength,offset,type
1,,<music21.note.Note B->,note,selva1,2.0,0.0,GeneralNote
1,,<music21.chord.Chord E-4 G-4>,note,selva2,2.0,0.0,GeneralNote
1,,<music21.note.Rest dotted-whole>,note,selva3,6.0,0.0,GeneralNote
1,,<music21.note.Rest quarter>,note,selva4,1.0,2.0,GeneralNote
1,,<music21.chord.Chord E-4 G-4>,note,selva5,2.0,2.0,GeneralNote
1,,<music21.note.Rest eighth>,note,selva6,0.5,3.0,GeneralNote
1,,<music21.note.Note B->,note,selva7,0.5,3.5,GeneralNote
1,,<music21.note.Note E->,note,selva8,1.5,4.0,GeneralNote
1,,<music21.chord.Chord E-4 G-4>,note,selva9,2.0,4.0,GeneralNote
1,,<music21.note.Note G->,note,selva10,0.5,5.5,GeneralNote
1,2,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note C->>,slur,selva733,2.5,0.0,Slur
1,,<music21.dynamics.Dynamic p>,p,selva772,,,DynamicPoint
1,,<music21.expressions.TextExpression 'Lento mode...'>,Lento moderato,selva798,0.0,0.0,TextExpression
1,,<music21.expressions.TextExpression 'très soute...'>,très soutenu et expressif,selva799,0.0,0.0,TextExpression
1,,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,None,selva804,0.0,0.0,TempoIndication
1,,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,None None,selva805,0.0,0.0,MetronomeMark
2,,<music21.note.Note C->,note,selva11,2.0,6.0,GeneralNote
2,,<music21.chord.Chord E-4 A-4>,note,selva12,2.0,6.0,GeneralNote
2,,<music21.note.Rest dotted-whole>,note,selva13,6.0,6.0,GeneralNote
2,,<music21.note.Rest quarter>,note,selva14,1.0,8.0,GeneralNote
2,,<music21.chord.Chord E-4 A-4 C-5>,note,selva15,2.0,8.0,GeneralNote
2,,<music21.note.Rest eighth>,note,selva16,0.5,9.0,GeneralNote
2,,<music21.note.Note E->,note,selva17,0.5,9.5,GeneralNote
2,,<music21.note.Note A->,note,selva18,1.5,10.0,GeneralNote
2,,<music21.chord.Chord E-4 A-4 C-5>,note,selva19,2.0,10.0,GeneralNote
