measure_start,measure_end,object,value,id,quarterlength,offset,type
1,,<music21.note.Note B->,note,dejong1,2.0,0.0,GeneralNote
1,,<music21.articulations.Fingering 2>,fingering,dejong2,0.0,0.0,Fingering
1,,<music21.articulations.Tenuto>,tenuto,dejong3,0.0,0.0,Articulation
1,,<music21.chord.Chord E-4 G-4>,note,dejong4,2.0,0.0,GeneralNote
1,,<music21.note.Rest dotted-whole>,note,dejong5,6.0,0.0,GeneralNote
1,,<music21.note.Rest dotted-whole>,note,dejong6,6.0,0.0,GeneralNote
1,,<music21.note.Rest quarter>,note,dejong7,1.0,2.0,GeneralNote
1,,<music21.chord.Chord E-4 G-4>,note,dejong8,2.0,2.0,GeneralNote
1,,<music21.note.Rest eighth>,note,dejong9,0.5,3.0,GeneralNote
1,,<music21.note.Note B->,note,dejong10,0.5,3.5,GeneralNote
1,,<music21.articulations.Fingering 2>,fingering,dejong11,0.0,0.0,Fingering
1,,<music21.note.Note E->,note,dejong12,1.5,4.0,GeneralNote
1,,<music21.articulations.Fingering 4>,fingering,dejong13,0.0,0.0,Fingering
1,,<music21.chord.Chord E-4 G-4>,note,dejong14,2.0,4.0,GeneralNote
1,,<music21.note.Note G->,note,dejong15,0.5,5.5,GeneralNote
1,2,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note C->>,slur,dejong964,2.5,0.0,Slur
1,2,<music21.spanner.Slur <music21.chord.Chord E-4 G-4><music21.chord.Chord E-4 A-4>>,slur,dejong965,2.0,0.0,Slur
1,,<music21.expressions.TextExpression 'Lento'>,Lento,dejong1046,0.0,0.0,TextExpression
1,,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,None,dejong1049,0.0,0.0,TempoIndication
1,,<music21.tempo.MetronomeMark Quarter=52.5 (playback only)>,None None,dejong1050,0.0,0.0,MetronomeMark
2,,<music21.note.Note C->,note,dejong16,2.0,6.0,GeneralNote
2,,<music21.articulations.Fingering 1>,fingering,dejong17,0.0,0.0,Fingering
2,,<music21.articulations.Tenuto>,tenuto,dejong18,0.0,0.0,Articulation
2,,<music21.chord.Chord E-4 A-4>,note,dejong19,2.0,6.0,GeneralNote
2,,<music21.note.Rest dotted-whole>,note,dejong20,6.0,6.0,GeneralNote
2,,<music21.note.Rest dotted-whole>,note,dejong21,6.0,6.0,GeneralNote
2,,<music21.note.Rest quarter>,note,dejong22,1.0,8.0,GeneralNote
2,,<music21.chord.Chord E-4 A-4 C-5>,note,dejong23,2.0,8.0,GeneralNote
2,,<music21.note.Rest eighth>,note,dejong24,0.5,9.0,GeneralNote
2,,<music21.note.Note E->,note,dejong25,0.5,9.5,GeneralNote
2,,<music21.articulations.Fingering 2>,fingering,dejong26,0.0,0.0,Fingering
2,,<music21.note.Note A->,note,dejong27,1.5,10.0,GeneralNote
2,,<music21.articulations.Fingering 4>,fingering,dejong28,0.0,0.0,Fingering
2,,<music21.chord.Chord E-4 A-4 C-5>,note,dejong29,2.0,10.0,GeneralNote
2,,<music21.note.Note C->,note,dejong30,0.5,11.5,GeneralNote
2,3,<music21.spanner.Slur <music21.note.Note E-><music21.note.Note D>>,slur,dejong966,2.5,0.0,Slur
2,3,<music21.spanner.Slur <music21.chord.Chord E-4 A-4 C-5><music21.chord.Chord D4 F4 A-4>>,slur,dejong967,4.0,0.0,Slur
3,,<music21.note.Note D>,note,dejong31,2.0,12.0,GeneralNote
3,,<music21.articulations.Fingering 1>,fingering,dejong32,0.0,0.0,Fingering
3,,<music21.articulations.Tenuto>,tenuto,dejong33,0.0,0.0,Articulation
3,,<music21.chord.Chord E-4 F4 A-4>,note,dejong34,2.0,12.0,GeneralNote
3,,<music21.note.Rest half>,note,dejong35,2.0,12.0,GeneralNote
3,,<music21.note.Rest dotted-whole>,note,dejong36,6.0,12.0,GeneralNote
3,,<music21.note.Rest quarter>,note,dejong37,1.0,14.0,GeneralNote
3,,<music21.chord.Chord D4 F4 A-4>,note,dejong38,2.0,14.0,GeneralNote
3,,<music21.note.Rest half>,note,dejong39,2.0,14.0,GeneralNote
3,,<music21.note.Rest eighth>,note,dejong40,0.5,15.0,GeneralNote
3,,<music21.note.Note F>,note,dejong41,0.5,15.5,GeneralNote
3,,<music21.note.Note A->,note,dejong42,1.0,16.0,GeneralNote
3,,<music21.chord.Chord D4 F4>,note,dejong43,2.0,16.0,GeneralNote
3,,<music21.articulations.Tenuto>,tenuto,dejong44,0.0,0.0,Articulation
3,,<music21.note.Rest half>,note,dejong45,2.0,16.0,GeneralNote
3,,<music21.note.Note A->,note,dejong46,0.25,17.0,GeneralNote
3,,<music21.note.Note G->,note,dejong47,0.25,17.25,GeneralNote
3,,<music21.note.Note A->,note,dejong48,0.25,17.5,GeneralNote
3,,<music21.note.Note B->,note,dejong49,0.25,17.75,GeneralNote
4,,<music21.note.Note G->,note,dejong50,1.5,18.0,GeneralNote
4,,<music21.note.Note E->,note,dejong51,2.0,18.0,GeneralNote
4,,<music21.articulations.Tenuto>,tenuto,dejong52,0.0,0.0,Articulation
4,,<music21.note.Rest half>,note,dejong53,2.0,18.0,GeneralNote
4,,<music21.note.Rest dotted-whole>,note,dejong54,6.0,18.0,GeneralNote
4,,<music21.note.Note F>,note,dejong55,0.25,19.5,GeneralNote
4,,<music21.note.Note E->,note,dejong56,0.25,19.75,GeneralNote
4,,<music21.note.Note G->,note,dejong57,2.0,20.0,GeneralNote
4,,<music21.articulations.Staccato>,staccato,dejong58,0.0,0.0,Articulation
4,,<music21.articulations.Tenuto>,tenuto,dejong59,0.0,0.0,Articulation
4,,<music21.note.Rest half>,note,dejong60,2.0,20.0,GeneralNote
4,,<music21.note.Rest half>,note,dejong61,2.0,20.0,GeneralNote
4,,<music21.note.Rest quarter>,note,dejong62,1.0,20.0,GeneralNote
4,,<music21.note.Rest eighth>,note,dejong63,0.5,21.0,GeneralNote
4,,<music21.note.Note B->,note,dejong64,0.5,21.5,GeneralNote
4,,<music21.articulations.Fingering 1>,fingering,dejong65,0.0,0.0,Fingering
