measure_start,measure_end,object,value,id,quarterlength,offset,type
0,,<music21.note.Rest eighth>,note,wouters1,0.5,0.0,GeneralNote
0,,<music21.note.Note A>,note,wouters2,0.5,0.0,GeneralNote
0,,<music21.articulations.Fingering 1>,fingering,wouters3,0.0,0.0,Fingering
0,,<music21.note.Rest eighth>,note,wouters4,0.5,0.0,GeneralNote
0,2,<music21.spanner.Slur <music21.note.Note A><music21.note.Note E>>,slur,wouters1277,5.0,0.0,Slur
0,,<music21.dynamics.Dynamic p>,p,wouters1373,,,DynamicPoint
0,,<music21.expressions.TextExpression 'Grazioso'>,Grazioso,wouters1437,0.0,0.0,TextExpression
0,,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,None,wouters1447,0.0,0.0,TempoIndication
0,,<music21.tempo.MetronomeMark andante Dotted Quarter=72>,andante,wouters1448,0.0,0.0,TempoIndication
0,,<music21.tempo.MetronomeMark Quarter=144 (playback only)>,None None,wouters1449,0.0,0.0,MetronomeMark
0,,<music21.tempo.MetronomeMark andante Dotted Quarter=72>,andante 72,wouters1450,0.0,0.0,MetronomeMark
1,,<music21.note.Rest dotted-half>,note,wouters5,3.0,0.5,GeneralNote
1,,<music21.note.Note D>,note,wouters6,0.5,0.5,GeneralNote
1,,<music21.articulations.Fingering 2>,fingering,wouters7,0.0,0.0,Fingering
1,,<music21.chord.Chord D4 F4>,note,wouters8,1.5,0.5,GeneralNote
1,,<music21.articulations.Fingering 3>,fingering,wouters9,0.0,0.0,Fingering
1,,<music21.articulations.Fingering 1>,fingering,wouters10,0.0,0.0,Fingering
1,,<music21.note.Rest dotted-half>,note,wouters11,3.0,0.5,GeneralNote
1,,<music21.note.Note E>,note,wouters12,0.5,1.0,GeneralNote
1,,<music21.note.Note F>,note,wouters13,0.5,1.5,GeneralNote
1,,<music21.note.Note E>,note,wouters14,0.5,2.0,GeneralNote
1,,<music21.articulations.Fingering 2>,fingering,wouters15,0.0,0.0,Fingering
1,,<music21.chord.Chord C#4 E4>,note,wouters16,1.5,2.0,GeneralNote
1,,<music21.note.Note A>,note,wouters17,0.5,2.5,GeneralNote
1,,<music21.note.Note A>,note,wouters18,0.5,3.0,GeneralNote
1,3,<music21.spanner.Slur <music21.chord.Chord D4 F4><music21.note.Note B->>,slur,wouters1278,6.0,0.0,Slur
2,,<music21.note.Note F>,note,wouters19,0.25,3.5,GeneralNote
2,,<music21.note.Note F>,note,wouters20,1.5,3.5,GeneralNote
2,,<music21.articulations.Fingering 3>,fingering,wouters21,0.0,0.0,Fingering
2,,<music21.note.Note D>,note,wouters22,0.5,3.5,GeneralNote
2,,<music21.articulations.Fingering 3>,fingering,wouters23,0.0,0.0,Fingering
2,,<music21.note.Rest dotted-half>,note,wouters24,3.0,3.5,GeneralNote
2,,<music21.note.Note G>,note,wouters25,0.125,3.75,GeneralNote
2,,<music21.articulations.Fingering 4>,fingering,wouters26,0.0,0.0,Fingering
2,,<music21.note.Note F>,note,wouters27,0.125,3.875,GeneralNote
2,,<music21.note.Note G>,note,wouters28,0.125,4.0,GeneralNote
2,,<music21.articulations.Fingering 4>,fingering,wouters29,0.0,0.0,Fingering
2,,<music21.note.Note F>,note,wouters30,0.5,4.0,GeneralNote
2,,<music21.note.Note F>,note,wouters31,0.125,4.125,GeneralNote
2,,<music21.note.Note G>,note,wouters32,0.125,4.25,GeneralNote
2,,<music21.note.Note F>,note,wouters33,0.125,4.375,GeneralNote
2,,<music21.note.Note G>,note,wouters34,0.125,4.5,GeneralNote
2,,<music21.articulations.Fingering 4>,fingering,wouters35,0.0,0.0,Fingering
2,,<music21.note.Note A>,note,wouters36,0.5,4.5,GeneralNote
2,,<music21.note.Note F>,note,wouters37,0.125,4.625,GeneralNote
2,,<music21.note.Note G>,note,wouters38,0.125,4.75,GeneralNote
2,,<music21.note.Note F>,note,wouters39,0.125,4.875,GeneralNote
2,,<music21.note.Rest quarter>,note,wouters40,1.0,5.0,GeneralNote
2,,<music21.note.Note E>,note,wouters41,1.0,5.0,GeneralNote
2,,<music21.note.Note C>,note,wouters42,0.5,5.0,GeneralNote
2,,<music21.articulations.Fingering 4>,fingering,wouters43,0.0,0.0,Fingering
2,,<music21.note.Note F>,note,wouters44,0.5,5.5,GeneralNote
2,,<music21.note.Rest eighth>,note,wouters45,0.5,6.0,GeneralNote
2,,<music21.note.Note A>,note,wouters46,0.5,6.0,GeneralNote
2,,<music21.articulations.Fingering 3>,fingering,wouters47,0.0,0.0,Fingering
2,,<music21.note.Note A>,note,wouters48,0.5,6.0,GeneralNote
2,3,<music21.spanner.Slur <music21.note.Note A><music21.note.Note G>>,slur,wouters1279,0.5,0.0,Slur
3,,<music21.note.Rest dotted-half>,note,wouters49,3.0,6.5,GeneralNote
3,,<music21.note.Note G>,note,wouters50,0.5,6.5,GeneralNote
3,,<music21.note.Note D>,note,wouters51,1.5,6.5,GeneralNote
3,,<music21.articulations.Fingering 3>,fingering,wouters52,0.0,0.0,Fingering
3,,<music21.note.Note B->,note,wouters53,1.5,6.5,GeneralNote
3,,<music21.articulations.Fingering 5>,fingering,wouters54,0.0,0.0,Fingering
3,,<music21.note.Note B->,note,wouters55,0.25,7.0,GeneralNote
3,,<music21.articulations.Fingering 4>,fingering,wouters56,0.0,0.0,Fingering
3,,<music21.note.Note A>,note,wouters57,0.25,7.25,GeneralNote
3,,<music21.note.Note G>,note,wouters58,0.25,7.5,GeneralNote
3,,<music21.note.Note F>,note,wouters59,0.25,7.75,GeneralNote
3,,<music21.note.Note E>,note,wouters60,0.5,8.0,GeneralNote
3,,<music21.chord.Chord D4 E4>,note,wouters61,1.5,8.0,GeneralNote
3,,<music21.note.Note G>,note,wouters62,1.5,8.0,GeneralNote
3,,<music21.note.Note G>,note,wouters63,0.25,8.5,GeneralNote
3,,<music21.articulations.Fingering 4>,fingering,wouters64,0.0,0.0,Fingering
3,,<music21.note.Note F>,note,wouters65,0.25,8.75,GeneralNote
3,,<music21.note.Note E>,note,wouters66,0.25,9.0,GeneralNote
3,,<music21.note.Note D>,note,wouters67,0.25,9.25,GeneralNote
3,3,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note E>>,slur,wouters1280,1.0,0.0,Slur
3,3,<music21.spanner.Slur <music21.note.Note G><music21.note.Note D>>,slur,wouters1281,0.75,0.0,Slur
3,3,<music21.dynamics.Crescendo <music21.note.Note G><music21.note.Note D>>,diminuendo,wouters1394,,,DynamicRegion
4,,<music21.note.Rest dotted-half>,note,wouters68,3.0,9.5,GeneralNote
4,,<music21.note.Note D>,note,wouters69,1.0,9.5,GeneralNote
4,,<music21.articulations.Fingering 3>,fingering,wouters70,0.0,0.0,Fingering
4,,<music21.note.Note A>,note,wouters71,0.5,9.5,GeneralNote
4,,<music21.note.Rest dotted-eighth>,note,wouters72,0.75,9.75,GeneralNote
4,,<music21.note.Rest dotted-eighth>,note,wouters73,0.75,9.75,GeneralNote
4,,<music21.note.Note C#>,note,wouters74,0.5,10.0,GeneralNote
4,,<music21.note.Note C#>,note,wouters75,0.5,10.5,GeneralNote
4,,<music21.note.Note E>,note,wouters76,0.5,10.5,GeneralNote
4,,<music21.note.Note C#>,note,wouters77,1.0,11.0,GeneralNote
4,,<music21.note.Note A>,note,wouters78,0.25,11.0,GeneralNote
4,,<music21.note.Note G>,note,wouters79,0.25,11.25,GeneralNote
4,,<music21.note.Note F>,note,wouters80,0.25,11.5,GeneralNote
4,,<music21.note.Note E>,note,wouters81,0.25,11.75,GeneralNote
4,,<music21.note.Note A>,note,wouters82,0.5,12.0,GeneralNote
4,,<music21.note.Note D>,note,wouters83,0.5,12.0,GeneralNote
4,4,<music21.spanner.Slur <music21.note.Note D><music21.note.Note C#>>,slur,wouters1282,1.0,0.0,Slur
4,4,<music21.spanner.Slur <music21.note.Note A><music21.note.Note E>>,slur,wouters1283,1.0,0.0,Slur
4,4,<music21.spanner.Slur <music21.note.Note A><music21.note.Note D>>,slur,wouters1284,1.0,0.0,Slur
5,,<music21.note.Rest dotted-half>,note,wouters84,3.0,12.5,GeneralNote
5,,<music21.note.Note C>,note,wouters85,0.5,12.5,GeneralNote
5,,<music21.articulations.Fingering 2>,fingering,wouters86,0.0,0.0,Fingering
5,,<music21.note.Note G>,note,wouters87,1.0,12.5,GeneralNote
5,,<music21.articulations.Fingering 2>,fingering,wouters88,0.0,0.0,Fingering
5,,<music21.note.Rest dotted-half>,note,wouters89,3.0,12.5,GeneralNote
5,,<music21.note.Note B->,note,wouters90,0.5,13.0,GeneralNote
5,,<music21.articulations.Fingering 1>,fingering,wouters91,0.0,0.0,Fingering
5,,<music21.note.Note G>,note,wouters92,0.5,13.5,GeneralNote
5,,<music21.articulations.Fingering 5>,fingering,wouters93,0.0,0.0,Fingering
5,,<music21.note.Note G>,note,wouters94,0.5,13.5,GeneralNote
5,,<music21.articulations.Fingering 1>,fingering,wouters95,0.0,0.0,Fingering
5,,<music21.note.Note B->,note,wouters96,0.5,14.0,GeneralNote
5,,<music21.articulations.Fingering 2>,fingering,wouters97,0.0,0.0,Fingering
5,,<music21.note.Note F>,note,wouters98,1.0,14.0,GeneralNote
5,,<music21.articulations.Fingering 2>,fingering,wouters99,0.0,0.0,Fingering
5,,<music21.note.Note A>,note,wouters100,0.5,14.5,GeneralNote
5,,<music21.note.Note F>,note,wouters101,0.5,15.0,GeneralNote
5,,<music21.note.Note F>,note,wouters102,0.5,15.0,GeneralNote
5,,<music21.articulations.Fingering 1>,fingering,wouters103,0.0,0.0,Fingering
5,5,<music21.spanner.Slur <music21.note.Note C><music21.note.Note B->>,slur,wouters1285,0.5,0.0,Slur
5,5,<music21.spanner.Slur <music21.note.Note B-><music21.note.Note A>>,slur,wouters1286,0.5,0.0,Slur
6,,<music21.note.Rest dotted-half>,note,wouters104,3.0,15.5,GeneralNote
6,,<music21.note.Note A>,note,wouters105,0.5,15.5,GeneralNote
6,,<music21.articulations.Fingering 2>,fingering,wouters106,0.0,0.0,Fingering
